"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-15 ~ 2025-08-15"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 북구 삼각동","835","0835","0000","일곡엘리체프라임","84.9426","202508","14","41,500","-","17","개인","개인","2016","설죽로 419","-","중개거래","광주 북구","-"
"2","광주광역시 서구 마륵동","1","0001","0000","상무자이","170.8552","202508","14","68,000","-","4","개인","개인","2008","백석길 22-23","-","중개거래","광주 광산구","-"
"3","광주광역시 서구 화정동","23-20","0023","0020","해광샹그릴라센트럴337","54.6212","202508","14","17,900","-","18","개인","개인","2017","내방로 337","-","중개거래","광주 서구","-"
"4","광주광역시 서구 화정동","859-1","0859","0001","현대(859-1)","60.0000","202508","14","12,500","-","6","개인","개인","1987","월드컵4강로 22","-","중개거래","광주 서구","-"
"5","광주광역시 광산구 우산동","1625","1625","0000","쌍용더플래티넘광산","84.9784","202508","14","41,300","-","7","개인","개인","2021","우산로107번길 67","-","중개거래","광주 광산구","-"
"6","광주광역시 북구 일곡동","816-3","0816","0003","동아2","99.8600","202508","14","30,000","-","6","개인","개인","2000","우치로537번길 10","-","중개거래","광주 북구","-"
"7","광주광역시 북구 신용동","675","0675","0000","광주첨단2지구호반베르디움1단지","84.9839","202508","14","47,700","-","7","개인","개인","2014","첨단연신로133번길 8","-","중개거래","광주 북구","-"
"8","광주광역시 광산구 우산동","1633","1633","0000","무진로진아리채리버뷰","84.9945","202508","14","43,200","-","18","개인","개인","2022","풍영철길로 46","-","중개거래","광주 광산구","-"
"9","광주광역시 광산구 산정동","1056","1056","0000","부영애시앙2차","84.8198","202508","14","26,000","-","2","개인","개인","2008","목련로 41","-","중개거래","광주 광산구","-"
"10","광주광역시 광산구 선암동","586","0586","0000","선운지구다사로움","49.7426","202508","14","20,200","-","6","개인","개인","2015","선운로 34","-","중개거래","광주 광산구","-"
